English;SK1;SK2;SK3;SK4
cumbersome;tazkopadny;;;
curious;zvedavy;zvlastny;podivny;
deal;zaoberat;mnozstvo;riesit;
dealt;zaoberali;;;
debunk;odhalit;;;
decisive;rozhodujuci;rozhodny;pevny;nepopieratelny
delve;ponorit sa;vrtat sa;patrat;
denote;znamenat;ukazovat;indikovat;
deprecated;zastarane;;;
deserve;zasluzit si;byt hodny;;
disappointment;sklamanie;;;
doubt;pochybovat;nedoverovat;neistota;obava
downside;nevyhodou;;;
effectiveness;ucinnost;posobivost;efektivnost;
eligible;sposobily;majuci narok;vhodny;
emerged;objavit sa;vyjt najavo;vynorit sa;
emphasis;doraz;zdoraznene;prizvuk;
emphasize;zdoraznit;zdoraznovat;;
encompass;zahrnut;obsahovat;obklopit;
encourage;odporucat;povzbudit;podporovat;napomahat
endeavor;snazit sa;pricinit sa;snaha;usilie
essentially;v podstate;podstatne;;
evaluated;vyhodnocovat;;;
evolve;vyvinut;rozvijat;uvolnit;
excessive;nadmerny;prilisny;neprimerany;
exempt;vynat;oslobodeny;;
expedite;urychlit;pohotovo vybavit;expedovat;
experience;zaziva;zazit;okusit;
expose;vystavit;odhalit;;
express;vyjadrit;;;
facilitate;ulahcit;pomoct;zmiernit;
fair;fer;veltrh;trh;
fairly;spravodlivo;dost;celkom;pomerne
feasible;uskutocnitelny;prijatelny;pripustny;
flee;utekat;uniknut;vystrihat sa;
forge;falsovat;sfalsovat;vymysliet si;
former;byvaly;predosly;stary;
forthcomming;bliziaci sa;chystany;nastavajuci;
fortunate;stastny;;;
found;nachadzat sa;;;
frankly;uprimne;;;
fulfilled;vykonat;splnit;;
fuzzy;nejasny;;;
gaiety;radost;radostna nalada;veselost;
glitch;zavada;;;
gradual;postupny;stupnovity;;
gradually;potupne;;;
grocery;potraviny;obchod s potravinami;obchod s rozlicnym tovarom;
growth;rast;narastanie;narast;
halve;polovica;;;
handle;spracovat;riadit;mat na starosti;
harm;ublizit;sposobit ujmu;poskodit;
hence;preto;teda;;
hostage;rukojemnik;;;
however;avsak;;;
ideally;idealne;;;
implication;dosledok;aspekt;tvrdenie;
implies;napoveda;navrhovat;;
imply;znamena;;;
impose;predpisat;ulozit;uvalit;
inevitable;nevyhnutny;;;
insist on;trvat na;;;
intact;neporuseny;uplny;nedotknuty;
intention;zamer;umysel;ucel;
intentionally;zamerne;;;
intentional;umyselny;zamerny;;
interchange;vymenit;zamenit;;
interchangeable;vymenitelny;zamenitelny;;
Interdependencies;vzajomnej zavislosti;;;
Interim;medzitym;docasny;;
intermittent;striedavy;obcasny;prerusovany;
intermittently;prerusovane;;;
invoke;vyvolat;;;
involve;zapricinit;zavinit;mat za nasledok;
joyful;rozradostneny;;;
judgment;nazor;rozhodnutie;trest;
justification;odovodnenie;opodstatnenie;opravnenie;
justify;dolozit;opodstatnit;dolozit;
lack;nedostatok;nemat;chybat;potrebovat
leisure;volny cas;volno;volny;
leverage;vyuzivat;;;
leverages;vyuziva;;;
likely;pravdepodobne;urcite;;
likewise;podobne;rovnako;tak isto;okrem toho
literally;naozaj;doslovne;presne;
lockdown;uzamknutie;;;
lumped;sustredeny;;;
meaning;vyznam;;;
meant;myslel som;znamenalo;;
measure;opatrenie;vyskusat;porovnat;
mention;spomenut;uviest;poukazat na;
mere;obycajny;mezvyznamny;holy;hlupy
merely;iba;len;jedine;
mindful;vedomy;dbajuci;;
misleading ;zavadzajuce;;;
misunderstood;nesptavne pochopit;nerozumiet;;
misuse;zle pouzivat;zneuzit;zle zaobchadzat;
momentary;okamzity;;;
moreover;okrem toho;potom;a co viac;navyse
naturally;prirodzene;samozrejme;pochopitelne;pravdaze
neat;pekny;sikovny;povabny;
necessary;potreba;nevyhnutny;potrebny;
needless;zbytocny;nepotrebny;;
needlessly;zbytocne;;;
needfull;potrebny;nutny;dolezity;nevyhnutny
negligence;neporiadok;nedbalost;zanedbalost;
nevertheless;napriek tomu;predsa;aj tak;
nullify;zrusit;zabranit;;
objective;ciel;ucel;objektivny;nestranny
observation;poznamka;postreh;komentar;pozorovanie
observe;dodrziavat;zachovavat;vsimnut si;spozorovat
obvious;jasny;ocividny;pochopitelny;
obviously;samozrejme;ocividne;prirodzene;zrejme
occur;prihodit sa;napadnut (prist na mysel);objavit sa;
odd;zvlastny;nezvycajny;ojedinely;
ourselves;my sami;seba;sebe;
outcome;zaver;vysledok;dosledok;
outperforms;prekonava;;;
outrage;poburit;rozhorcit;;
outstanding;vynikajuci;mimoriadny;vynimocny;
overslept;zaspal;;;
overwhelmed;zahlteni;zavaleni;ohromeny;zdolat
overwhelming;ohromujuci;ohromny;prevazny;neprekonatelny
pad;vyplnovat;vypchat;vankus;
paramount;prvorady;;;
particularly;obzvlast;najma;hlavne;
perform;urobit;vykonat;;
permissible;pripustny;dovoleny;povoleny;
pertain;tykat sa;;;
pertaining;vztahujuce;tykajuce sa;;
pervasive;prenikavy;;;
pitfall;nastraha;pasca;;
pose;predstavovat;postoj;sposobit;predstieranie
preceding;predchadzajuci;predosly;;
predetermined;predurceny;;;
determining;stanovenie;;;
preferable;vhodnejsi;vyhodnejsi;;
preferred;preferovany;;;
preliminarily;predbezne;;;
preliminary;predbezny;pripravny;;
preserve;zachovat;udrzat;uchovat;chranit
presume;predpokladam;povazovat;;
pretend;predstierat;tvarit sa;hrat sa na nieco alebo niekoho;
prevail;prevladat;prehovorit;existovat;
proceed;pokracovat;postupit;pokrok;pristupit
proclaim;vyhlasit;;;
purpose;ciel;ucel;vyznam;
rather;skor;presnejsie;vlastne;
readily;jednoducho;bez namahy;lahko;
realize;pochopit;uvedomit si;splnit;realizivat
recall;pripomenut;spomenut si;vypoved;
receipt;potvrdenka;trzba;prijem;
recurring;opakujuci sa;casty;;
regarding;co sa tyka;tykajuce sa;v suvislosti;
regardless;bez ohladu;aj tak;nedbajuc;
rehearse;nacvicovat;skusat;vyrozpravat;
rely;spoliehat;;;
remain;zostavaju;;;
remnants;zvysky;pozostatok;zbytok;
reside;sidlit;spocivat;patrit;nachadzat sa
resilience;pruznost;zivotaschopnost;;
resilient;pruzny;imunny;odolny;
resort to;uchylit sa k;;;
respective;prislusny;patricny;individualny;
retrieve;ziskat;;;
revamp;vylepsit;prepracovat;;
reveal;odhalovat;prezradzat;ukazovat;odkryt
revelation;odhalenie;ukazanie;prezradenie;
rundown;podrobny prehlad;;;
satisfactory;vyhovujuce;;;
savvy;rozumiet;pochopit;chochmesny;chytry
scrap;odhodit;zrusit;zbavit sa;
see;poznat;rozpoznat;;
seek;hladat;vyhladat;ziadat;usilovat sa
seeking to;snazit sa;;;
seem;zdat sa;pripadat;vyzerat;javit sa
seemingly;zrejme ;podla vsetkeho;zdanlivo;
seldom;zriedka;zriedkakedy;malokedy;
selfish;sebecky;;;
shortcoming;nedostatok;slabina;chyba;
signify;naznacovat;naznacit;znamenat;predstavovat
sluggish;pomaly;lenivy;zdlhavy;
so far;dosial;zatial;;
soaked;premoceny;;;
solicit;ziskavat;ponukat sa;;
sovereign;suverenny;vysostny;hlavny;
spare;usetrit;sanovat;;
sparingly;malo;striedmo;setrne;
sparse;riedky;;;
specific;konkretny;;;
spot;miesto;;;
standpoint;hladisko;stanovisko;;
state;vyjadrit;specifikovat;tvrdit;
statement;prikaz;formulacia;vyhlasenie;tvrdenie
stringent;prisny;tvrdy;striktny;
struggle;zapasit;snazit sa;pokusat sa;usilovat sa
stuff;zalezitost;vec;;
subject;tema;predmet;dovod;motiv
suffice;stacit;postacit;;
suppresses;potlacat;zakazat;tajit;
surge;prival;narast;;
survey;prieskum;suhrn;prehlad;vysetrenie
susceptible;nachylny;chulostivy;citlivy;
synopsis;prehlad;zhrnutie;;
tackle;vyriesit;chpit sa;zapriahnut;
tailor;prisposobit;usit na mieru;krajcir;usit
tale;dlazdica;;;
tedious;zdlhavy;unavny;nudny;
tend;mat tendenciu;smerovat;mat vo zvyku;
thankful;vdacny;;;
therefore;preto;z toho dovodu;a tak;celkom
thorough;dokladny;poriadny;uplny;
thoroughly;dokladne;starostlivo;upne;
though;hoci;i ked;predsa len;
threat;hrozba;vyhrazka;vyhrazanie;ohrozenie
through;prostrednicstvom;pomocou;;
throughout;v celom;celkom;vsade;v priebehu
timeless;nadcasovy;nekonecny;vecny;
tiny;nepatrny;maly;drobny;
treat;povazovat;zaobchadzat;;
tremendously;ohromne;;;
tumbler;pohar;;;
ubiquitous;vsadepritomny;;;
ugly;nebezpecny;hrozivy;nepekny;
undermine;podkopat;podlomit;oslabovat;
underneath;pod;dole;naspodku;
understanding;pochopit;chapanie;porozumenie;znalosti
underway;v plnom prude;prebiehajuce;;
unexpectedly;neocakavane;;;
unintentional;mimovolny;neumyselny;;
unlikely;nepravdepodobne;;;
upon;pocas;cez;na;
vague;nezrozumitelny;neurcity;nepresny;
vaguely;nejasne;;;
vet;preverit;;;
vulnerability;zranitelnost;napadnutelnost;;
weakness;slabost;nerozhodnost;zaluba;
weigh;posudit;zvazit;;
weird;zvlastny;podivny;;
whenever;kedykolvek;vzdy ked;;
whereas;zatial co;kym;vzhladom na to, ze;
whereby;pomocou ktoreho;cim;ktorym;
while;zatial co;;;
willing;ochotny;;;
workaround;riesenie;;;
worth;stojaci za to;hoden;cena;
cheat;podvadzat;oklamat;podvodnik;
judge;sudca;domnievat sa;posudzovat;ocenit
scam;podvod;;;
hoax;vymysel;;;
fungible;zamenitelny;;;
intrinsic;skutocny;prirodzeny;vrodeny;vlastny
overthrowing;zvrhnutie;zvrhnut;;
derail;vykolajit;;;
grasp;porozumiet;pochopit;;
squash;rozdrvit;rozmackat;rozpucit;
sued;zalovat;;;
hazy;nejasny;neisty;opleteny;
obsess;posadnut;zachvatit;trapit;
bloody;prekliaty;;;
glance;pohlad;pozriet;zbezne pozriet;prebehnut
disrupt;narusit;rozvratit;;
emergent;naliehavy;necakany;vznikajuci;
tenable;udrzatelny;obranyschopny;udrzatelny;
project;planovat;premienat;;
desire;tuzba;zelanie;zelat si;
feed;zivit;zasobovat;plnit;sprevadzat
shackles;puta;okovy;prekazka;
meaningful;vyznamny;majuci vyznam;ucelny;zamerny
convict;odsudit;usvedcit;;
delusion;blud;klamanie;podvod;sebaklam
terrify;vydesit;postrasit;nahnat strach;
slam;tresknut;uderit;pribuchnut;zavriet
conclude;usudit;prist k nazoru;uzavriet;
advent;prichod;;;
insane;sialeny;nezmyselny;;
witness;svedok;dosvedcit;overit;overivat
circumvemt;obist;obskocit;;
opaque;nepriehladny;nepriesvitny;nepriepustny;temnota
trim;zredukovat;odstranit;;
fraud;podvod;podvodnik;;
reckoning;pocitanie;vypocet;odplate;ratanie
bonkers;cvoknuty;;;
fold;zlozit sa;skladat;zabalit;zahrnut
equities;akcie;cenne papiere;;
stealing;ukradnut;kradnutie;prevziat;vymamit
faith;viera;dovera;slub;zaruka
convince;presvedcit;byt presvedceny;;
comply;poddat sa;vyhoviet;prisposobit sa;ulahodit
prophecy;proroctvo;vestba;;
crowds;davy;zaplnit;tiskat sa;zastup
observing;pozorovanie;vsimat si;zbadat;dodrziavat
impartial;nestranny;spravodlivy;;
mankind;ludstvo;;;
precious;vzacny;drahy;;
margin;obchodne rozpatie;;;
suffer;trpiet;utrpiet;;
force;sila;donutit;vnutit;urychlit
compelling;neprekonatelny;;;
immense;nesmierny;obrovsky;;
gain;zisk;ziskat;nadobudnut;zvysit
fairness;ferovost;bezuhonnost;slusnost;krasa
certainty;istota;ista vec;urcitost;
dumpster;smetiak;;;
camaraderie;kamaratstvo;priatestvo;;
bold;smely;odvazny;vyrazny;
rough;vytrznik;chuligan;vydrzat;trpiet
eventually;nakoniec;konecne;casom;
freer;slobodny;volny;nezavisly;dobrovolny
crash;krach;zrutit sa;havarovat;havaria
retail;maloobchod;maloochodny;roznasat;predavat sa
heighten;zvysit;zdoraznit;stupnovat sa;
committee;vybor;komisia;;
appeal;vyzva;oznam;ziadost;odvolanie
draft;navrh;navrhnut;koncept;koncipovat
fine;pokuta;pokutovat;;
pretender;uchadzac;;;
deduct;odpocitat;odcitat;strhnut;zlavit
differ;lisit sa;odlisovat sa;rozlisit;byt v rozpore
ranging;siahat;;;
regulation;pedpis;nariadenie;regulacia;smernica
wary;obozretny;opatrny;ostrazity;
kidnapping;unos;;;
stress;zdoraznit;prizvukovat;vyzdvihnut;
aperance;vystupenie;;;
implausibility;nepravdepodobnost;;;
decline;klesat;ochabovat;slabnut;odmietnut
silly;hlupy;bezvyznamny;nezmyselny;
allege;tvrdit;uvadzat;;
stance;postoj;;;
stir;rozruch;;;
inevitably;nevyhnutne;;;
major;velky;hlavny;;
claim;tvrdit;narok;ziadost;poziadat o
reive;ozivit;obnovit;spamatat sa;regenerovat
inonvience;neprijemnost;nepohodlnost;;
worthwhile;hodnotny;uzitocny;;
necessity;nutnost;potreba;nevyhnutnost;nedostatok
necessitate;vyzaduje;ziadat;vyzadovat;vynucovat
reliance;spolahnutie;dovera;zavislost;nadej
bode;vestit;;;
supply;zasobovat;dodavat;uspokojit;nahradit
reaffirm;potvrdit;znovu zdoraznit;znovu upevnit;
possess;vlastnit;mat;posadnut;napadnut
giveaway;rozdavanie;;;
melt;rozpustat sa;stratit sa;topit;rozplynut sa
fool;blazon;oklamat;napalit;hlupak
substantially;podstatne;;;
constitute;znamenat;predstavovat;tvorit;ustanovit
warm;privetive;;;
dissuade;odradit;odhovarat;odhovorit;
suspicious;podozrivy;podozrievavy;zahadny;
foremost;najprv;najprednejsi;;
notice;vsimnut si;upozornovat;davat pozor;oznam
wrongdoings;previnenie;;;
unforgivable;neodpustitelny;neospravedlnitelny;;
assessment;posudenie;;;
caution;opatrnost;varovat;vystraha;obozretnost
terrific;fantasticky;ohromny;uzasny;
pressing;naliehavy;neodkladny;;
outlook;vyhlad;rozhlad;nazor;nahlad
embrace;chopit sa;obsahovat;zahrnut;vyuzit
confusing;matuce;;;
legit;utiect;;;
ripoff;osklbat;;;
tentative;predbezny;nezavazny;hypoteticky;pokus
assert;tvrdit;presadzovat;;
tamper;falsovat;sfalsovat;navadzat;podplacat
whatsoever;vobec;;;
discourage;odradit;zastrasit;;
doubtless;nepochybne;bezpochyby;nepochybny;
beside;v porovnani;vedla;okrem;okrem toho
yelling;kricat;vrieskat;;
persuade;prehovorit;presvedcit;;
cause;sposobit;pricina;dovod;zapricinit
deligence;pracovitost;usilovnost;;
draw;kreslit;nakreslit;prilakat;vysat
drawback;nedostatok;nevyhoda;ujma;
overcome;prekonat;zdolat;vydrzat;zvytazit
argue;hadat sa;argumentovat;pehovorit;dokazovat
designate;urcit;predurcit;stanovit;oznacit
onwards;dalej;dopredu;vpred;
trustworthy;doveryhodny;spolahlivy;vierohodny;
deem;povazovat;mysliet si;pokladat;domnievat sa
measure;opatrenie;merat;porovnat;
misrepresent;klamat;prekrucat;skreslovat;nespravne opisovat
assurance;istota;uistenie;dovera;poistka
vet;preverit;osetrovatel zvierat;veterinar;
undertaken;vykonane;;;
issuance;vydanie;;;
comprise;obsahovat;skladat sa;zahrnovat;pozostavat
foresee;predvidat;;;
period;doba;obdobie;usek;interval
tempt;skusat;lakat;presviedcat;prehovarat
attempt;pokus;pokusit sa;;
listing;vypis;;;
liability;zavazok;zodpovednost;povinnost;rucenie
application;ziadost;pouzitie;pouzivanie;upotrebenie
omit;vynechat;zabudnut;nezaradit;preskocit
requiring;pozadujuce;vyziadat;potrebovat;prikazat
honor;respektovat;akceptovat;poctit;vazit si
theft;kradez;kradnutie;;
reproducible;reprodukovatelne;;;
interrelated;previazane;;;
commence;zacat;zacinat;zahajit;
commencement;zaciatok;zahajenie;;
common;bezny;obycajny;vseobecny;spolocny
conform;prisposobit;vyhovovat;podriadit;riadit sa
disclosure;odhalenie;prezradenie;;
interception;zachytenie;;;
guess;hadat;predpokladat;domnievat sa;mysliet si
nuisance;obtazovanie;obtiaz;;
malicious;zlomyselny;zakerny;skodoradostny;
various;rozny;rozlicny;rozmanity;pestry
deter;odradit;odstrasenie;;
opportunity;prilezitost;moznost;;
outset;zaciatku;pociatku;;
missconception;zly nazor;;;
prone;nachylny;;;
peculiar;zvlastny;nezvykly;extravagantny;svojrazny
instantaneous;okamzity;;;
parlance;zargon;hantirka;;
specifically;konkretne;;;
intake;prijem;;;
disallowed;nedovolene;;;
questionable;diskutabilne;otazny;pochybny;problematicky
subsume;zahrnovat;priradit;sustredit;
exceed;prekrocit;presahovat;;
obligatory;povinny;;;
affirmative;kladny;;;
toward;k;smerom k;do;na
eradicate;vyhubit;vykorenit;vyklcovat;
uniqueness;jedinecnost;;;
engagement;stretnutie;stretnutie;schodzka;jednanie
depict;znazornit;zobrazit;malovat;
conversant;zbehly;oboznameny;;
extensive;rozsiahly;obsiahly;objemny;
resume;zhrnutie;suhrn;zivotopis;osobne udaje
bodge;zpackat;odflaknut;;
irrespective;a to bez ohladu;ohladu;;
strikingly;napadne;pozoruhodne;mimoriadne;
resemble;podobat sa;ponasat sa;;
legitimate;zakonny;opravneny;;
nonetheless;avsak;napriek tomu;;
comprehend;chapat;pochopit;;
perspective;hladisko;stanovisko;;
beforehand;vopred;dopredu;;
neatly;prehladne;presnom;starostlivo;pekne
underappreciat;podcenit;;;
lid;vrchnak;viecko;veko;priklop
intend;zamyslat;chciet;mat v umysle;
costly;nakladny;drahy;drahocenny;
fare;cestovne;;;
disclose;oznamit;prezradit;uverejnit;vyblabotat
partake;zucastnit sa;;;
magnicifent;velkolepy;nadherny;vynikajuci;
hassle;otravovat;obtazovat;problem;natahovacka
hallway;chodba;;;
distinction;rozdiel;rozlisovanie;pocta;uroven
wherever;kdekolvek;kamkolvek;hocikde;vsade
exhausting;vycerpavajuci;;;
cramped;uzky;stiesneny;nahusteny;obmedzeny
prohibit;zakazat;;;
prohibition;zakaz;;;
prohibited;zakazane;;;
obligation;povinnost;nutnost;zavazok;laskavost
shutter;okenica;roleta;;
patient;pacient;trpezlivy;;
complement;doplnok;doplnovat;;
thought;nazor;myslienka;mienenie;predstava
since;vzhladom na to;od;kedze;pretoze
appendage;privesok;;;
counterpart;naprotivok;;;
prescribe;predpisat;nariadit;;
forbidden;zakazany;;;
suspect;citit;tusit;pochybovat;mat podozrenie
incur;prihodit;;;
venerable;starobyly;posvatny;ctihodny;blahoslaveny
slightly;trochu;;;
withstand;vydrzat;odolat;odporovat;uchranit sa
diminish;zmensit;zmensit sa;znizit;
speechless;nemy;bez slova;nevyslovny;
deviate;odchylit;odchylit sa;;
covenience;vyhoda;vymozenost;;
punish;trestat;potrestat;pokutovat;
tear;trhat;roztrhnut;;
pleasant;prijemny;;;
mall;obchodne centrum;;;
decay;upadok;rozpadat sa;slabnut;chatrat
apparently;zjavne;ocividne;podla vsetkeho;
proposal;navrh;ponuka;;
extend;rozsirit;predlzit;natiahnut;
dissatisfaction;nespokojnost;;;
urge;naliehat;;;
genuine;pravy;nefalsovany;uprimny;
outward;von;smerujuci von;vonkajsi;
slump;prepadnut;klesnut;spadnut;zrutit sa
inventive;vyliezavy;;;
endorse;suhlasit;schvalit;potvrdit;
enact;ustanovit;naradit;uzakonit;
disband;rozpustit;;;
elsewhere;inde;inam;niekde inde;
fickle;nestaly;vrtkavy;;
overlook;prehliadnut;opomenut;nevsimnut si;prepacit
standing;trvale;;;
arguing;argumentovat;;;
compel;prinutit;donutit;vynutit;
commit;odhodlat;zaviazat sa;spachat;dopustit sa
fraught;plny;;;
scarcity;vzacnost;vzacnost;nedostatok;nudza
quip;vtip;vtipna poznamka;vtipne poznamenat;
relegate;presunut;zaradit;pridelit;
indeed;naozaj;vlastne;v skutocnosti;samozrejme
barf;zvracat;;;
diligent;usilovny;pracovity;;
undoubtedly;nepochybne;zaiste;bezpochyby;
bummed;sklamany;;;
harness;zapojit;vyuzit;spojit;
course;kurz;skolenie;priebeh;smer
teammate;spolupracovnik;;;
unravel;objasnit;rozmotat;rozpliest;rozuzlovat
encipher;zasifrovat;;;
admit;prijat;pripustit;uznat;pojat
tricky;zlozity;domyselny;;
arguably;pravdepodobne;;;
superior;lepsi;dokonalejsi;kvalitnejsi;
inundated;zaplavit;zaliat;;
dismiss;zamietnut;odmietnut;pustit z hlavy;
stunning;uzasny;ohromujuci;velkolepy;sokujuci
feature;vlastnost;funkcia;vybavenie;jav
hassle;obtazovat;otravovat;sposobovat problemy;hadat sa
lingering;ostat;zdrzat sa;otalat;
challenge;problem;vyzva;uloha;
lax;uvolneny;vlazny;znizeny;
recede;klesat;vzdalovat sa;ubudat;zmensit sa
wonky;uvolneny;nepevny;slaby;vahavy
confuse;pliest;zmiast;spliest;pomylit
edict;nariadenie;;;
stamina;vydrz;vytrvalost;sila;energia
pertinent;relevantne;primerany;;
disposable;jednorazovy;volny;;
ephemeral;pominutelne;;;
inquiry;dotaz;informacia;patranie;dotaznik
resign;odstupit;vzdat sa;odovzdat;rezignovat
chase;stihat;prenasledovat;posilnit;dodat silu
disparate;rozlicnost;vzdychat;tuzit;vzdych
alleviate;zmiernit;zalovat;zaziadat;ziadat
unsurprisingly;neprekvapujuco;zanikat;stratit sa;zanedbat
refinements;upresnenie;vylepsenie;zuslachtovanie;precistovanie
ample;dostatocny;sanca;zaujemca;kandidat
seasoned;ostrielany;zatajit;skryt;zapriet
disease;choroba;nemoc;;
consistently;dokladne;;;
counselor;advokat;poradca;;
disgust;znechutit;drazdit;zhnusit;odpor
supplement;doplnok;dodatok;priloha;
deduce;odvodit;vyvodit zaver;usudzovat;vyvodzovat
precede;predchadzat;ist;uviest;nachadzat sa
merit;zasluha;zasluzit si;hodnota;cena
hiss;sycanie;unikat;sykot;sum
fuss;panikarit;obskakovat;krik;zvytocny rozruch
snarl;vrcat;hnevat sa;domotat;dopliest
growl;vrcat;mrmlat;zavrcanie;
remedy;napravit;naprava;liek;odstranit
jealous;ziarlivy;zavistlivy;neprajny;podozrievavy
defeat;porazit;prekazit;znicit;zamietnut
sacred;posvatny;svaty;slavnostny;cirkevny
union;spojenie;zvaz;spojovanie;zjednotenie
forge;falsovat;kovat;vymysliet si;vyhnat
bloodline;rodokmen;;;
resistance;odpor;vzdor;nesuhlas;odolnost
garrison;posadka;odvelit;umiestnit;obsadit
flatter;lichotit;gratulovat si;nahovarat si;polichotit
mate;kamarat;kolega;spajat;sobasit
slaughter;pobit;zmasakrovat;zabijat;vrazdit
gist;podstata;hlavna myslienka;jadro;
dweller;obyvatel;;;
proceedings;udalost;priebeh;rokovanie;sudne konanie
charm;kuzlo;caro;ocarit;zacarovat
abuse;zneuzit;tyrat;byt oklamany;ohovarat
harvest;zbierat;zat;kosit;zatva
sough;hladat;ziadat;prehladavat;pokusat sa
reticent;zdrzanlivy;rezervovany;;
unquestionably;nepochybne;nesporne;;
brith;bystry;jasny;svetly;
solid;masivny;pevny;silny;seriozny
downward;nadol;dole smerujuci;sklanajuci sa;zostupny
flap;panikarit;;;
compliance;dodrziavanie;;;
call;odhadovat;navstivit;privolat;navsteva
crumble;mrvit;rozpadat sa;drobit;
incentive;stimul;povzbudenie;pohnutka;motiv
utility;uzitocnot;uzitok;funkcnost;prospesnost
proponent;navrhovatel;zastanca;;
rectify;napravit;upravit;odstranit;precistovat
suit;oblek;vyhovovat;obliect sa;ist
seamless;bezproblemovy;;;
namely;a to;;;
opt;rozhodnut;zvolit;odhlasit;
recipe;recept;predpis;navod;
hate;nenavidiet;neznasat;odpor;nenavist
adamant;pevny;neoblomny;neustupny;diamant
plausible;pravdepodobny;prijatelny;vyzerajuci hodnoverne;
reinstate;obnovit;znovu zaviest;navratit;znovu zamestnat
procrastinate;odkladat;okolkovat;;
quieten;utisit;utisit sa;;
ridicule;vysmech;vysmievat sa;posmievat sa;vysmech
utter;naprosty;vyjadrit;absolutny;prehovorit
marvel;zazrak;cudovat sa;divit sa;
knee;koleno;;;
tough;tvrdy;huzevnaty;silny;nepoddajny
serve;sluzit;posluzit;dorucit;odpracovat
harmless;neskodny;nevinny;;
crap;blbost;srat;svinit;hovno
payslip;vyplatna paska;;;
eligibility;narok;uplatnitelnost;pripustnost;akceptovatelnosti
redeployment;preradenie;presun;presunutie;reorganizacia
excerpt;vynatok;;;
fetch;nacitat;vyniest;zohnat;zabehnuty
afterwards;potom;neskor;nato;
compound;zlozene;zlucenina;;
that;kde;aby;taky;ako
glimpse ;pohlad;naznak;zahliadnut;nazriet
acknowledgment;potvrdenie;podakovanie;uznanie;
familiarity;znalost;zmanosti;vedomosti;
knowledgeable;znaly;skuseni;oboznameni;informovani
rinse;oplachnut;umyvat;vyplachnut;
fund;financne prostriedky;prostriedky;fondy;zdrojov
oversight;dohlad;dozor nad;nedopatrenie;
violance;nasilie;sila;hrubost;zurivost
witnessed;svedkami;byt svedkom;dosvedcit;overit
anger;hnev;zlost;hnevom;hneve
outlet;vychot;vychodisko;predajna;otvor
amassing;zhromazdovanie;hromadit;nahromadit;
paper;vytapetovat;zahladit;cenny papier;clanok
spark;iskra;vyvolat;podnietit;zapalovanie
pin;spendlik;ihla;pripnut;zopnut
chasm;priepast;;;
meanwhile;medzi casom;zatial;za ten cas;dovtedy
shakeout;vytlkanie;kriza na burze;vytriasanie;vytriast
unrest;nepokoj;sarvatka;rozrusenie;
